5637549,150102493,01/10/2016,01/10/2016,22:00:00,01/10/2016,22:00:00,511,,,78 MARIETTA ST,0512,2203,,1,Eve,Sun,21,BURGLARY-NONRES,Downtown,M,-84.394869999999997,33.757570000000001,33.7545076,-84.390125
5641270,150611492,03/01/2016,02/25/2016,12:00:00,02/29/2016,19:00:00,412,,,2001 AUSTIN RD SW,0670,2308,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Vine City,L,-84.414109999999994,33.758229999999998,33.6999582,-84.5114294
5648012,151471800,05/26/2016,05/26/2016,08:30:00,05/26/2016,13:00:00,206,,,2980 PIEDMONT RD,0670,2308,,1,Day,Thu,99,LARCENY-NON VEHICLE,Blandtown,D,-84.425610000000006,33.800579999999997,33.8358562,-84.368666
5659772,152792664,01/13/2016,10/06/2015,20:00:00,10/06/2015,20:25:00,210,,,3393 PEACHTREE RD NE,0630,2303,,1,Eve,Tue,8,LARCENY-NON VEHICLE,Lenox,B,-84.362120000000004,33.846760000000003,33.8466715,-84.3619433
5664938,153412960,01/13/2016,12/07/2015,21:00:00,12/07/2015,21:05:00,208,,,3402 PIEDMONT RD NE,0640,2305,,1,Eve,Mon,24,LARCENY-FROM VEHICLE,Buckhead Forest,B,-84.373850000000004,33.847549999999998,33.8475665,-84.3738399
5665283,153460454,01/22/2016,12/12/2015,03:00:00,12/12/2015,03:11:00,208,,,3398 PIEDMONT RD NE,0640,2305,,1,Morn,Sat,18,LARCENY-FROM VEHICLE,Buckhead Forest,B,-84.373850000000004,33.847119999999997,33.8471799,-84.3738882
5666794,153652888,01/01/2016,12/31/2015,23:05:00,01/01/2016,00:50:00,313,,22,800 HUTCHENS RD SE @APS SOUTH ATLANTA HS,0410,1314,,1,Morn,Thu,13,AGG ASSAULT,South River Gardens,Z,-84.361869999999996,33.671019999999999,33.6708384,-84.3619385
5666797,160010061,01/01/2016,01/01/2016,00:03:00,01/01/2016,00:09:00,403,,,1316 AVON AVE SW,0410,1314,,2,Morn,Fri,20,AGG ASSAULT,Venetian Hills,S,-84.431070000000005,33.722090000000001,33.7220501,-84.4310546
5666798,160010074,01/01/2016,12/31/2015,22:30:00,01/01/2016,00:14:00,206,,,3121 MAPLE DR NE,0640,2305,,1,Morn,Thu,18,LARCENY-FROM VEHICLE,Buckhead Village,B,-84.371849999999995,33.840319999999998,33.8403181,-84.3718528
5666799,160010102,01/01/2016,12/31/2015,23:00:00,12/31/2015,23:30:00,404,,,1685 RALPH D ABERNATHY BLVD SW,0640,2305,,2,Morn,Thu,23,LARCENY-FROM VEHICLE,,I,-84.442499999999995,33.748510000000003,33.7485697,-84.442403
5666800,160010159,01/01/2016,12/31/2015,23:00:00,01/01/2016,00:30:00,305,,,1582 BENJAMIN W BICKERS DR SE,0640,2305,,2,Morn,Thu,4,LARCENY-FROM VEHICLE,The Villages at Carver,Y,-84.388260000000002,33.711930000000002,33.7115391,-84.3880216
5666801,160010285,01/01/2016,12/30/2015,10:00:00,01/01/2016,01:30:00,102,,,871 SPENCER ST NW,0511,2202,,1,Unk,Unk,20,BURGLARY-RESIDENCE,Vine City,L,-84.416030000000006,33.759920000000001,33.7599251,-84.4160306
5666802,160010495,01/01/2016,01/01/2016,00:01:00,01/01/2016,02:10:00,312,,,460 BELGARDE PL SE,0430,1315,,1,Morn,Fri,,AGG ASSAULT,Orchard Knob,Z,-84.37527,33.66433,33.6643118,-84.3752677
5666803,160010502,01/01/2016,01/01/2016,02:10:00,01/01/2016,02:15:00,503,,,1150 CRESCENT AVE NE,0720,2424,,0,Morn,Fri,13,AUTO THEFT,Midtown,E,-84.384370000000004,33.786009999999997,33.7859414,-84.3840605
5666804,160010568,01/01/2016,01/01/2016,03:37:00,01/01/2016,03:37:00,602,,,820 RALPH MC GILL NE,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.361490000000003,33.768799999999999,33.7688621,-84.3616272
5666805,160010583,01/01/2016,01/01/2016,02:30:00,01/01/2016,02:45:00,208,,1413,3380 PEACHTREE RD NE,0210,1103,20,1,Morn,Fri,,RAPE,North Buckhead,B,-84.365970000000004,33.84892,33.8495509,-84.3660513
5666806,160010606,01/01/2016,01/01/2016,01:00:00,01/01/2016,02:57:00,501,,,760 10TH ST,0640,2305,,2,Morn,Fri,13,LARCENY-FROM VEHICLE,Home Park,E,-84.412660000000002,33.781399999999998,33.7814123,-84.412626
5666807,160010621,01/02/2016,01/01/2016,00:30:00,01/01/2016,01:30:00,309,,,2608 METROPOLITAN PKWY,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Perkerson,X,-84.407219999999995,33.683790000000002,33.683812,-84.4072299
5666808,160010669,01/01/2016,01/01/2016,00:05:00,01/01/2016,03:00:00,604,,,474 CHAMBERLAIN ST SE,0710,2404,,1,Morn,Fri,,AUTO THEFT,Sweet Auburn,M,-84.372200000000007,33.753830000000001,33.7537509,-84.3720629
